                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.80655,                0.51895,                 1.4488,                0.85159,                0.50499,                 1.4312,                0.95141,                0.99142,                 0.9924,                 0.8366,                0.67174,                0.35176,                 1.4457,                0.69376,                 0.2834,                 1.4813,               0.003169,               0.003169,               0.003169
                     72,                0.82148,                0.50687,                 1.4724,                0.86921,                0.48116,                 1.4478,                0.98238,                0.94937,                0.99073,                0.84437,                0.65568,                0.34166,                 1.4262,                0.67867,                0.28335,                 1.4624,                0.00307,                0.00307,                0.00307
                     73,                0.82228,                0.51195,                 1.4593,                0.86912,                0.50827,                 1.4457,                 0.9831,                0.95781,                0.99316,                0.83372,                0.66858,                0.34071,                 1.4344,                0.69318,                0.26854,                 1.4766,               0.002971,               0.002971,               0.002971
                     74,                0.82657,                0.52185,                 1.4635,                0.87173,                0.51236,                 1.4391,                0.95795,                0.96132,                0.98937,                0.82734,                0.65688,                 0.3522,                 1.4172,                0.71767,                0.30379,                 1.4796,               0.002872,               0.002872,               0.002872
                     75,                0.80517,                0.51055,                 1.4564,                0.85733,                 0.4974,                 1.4367,                0.98706,                0.95359,                0.99158,                0.82883,                0.67655,                0.34655,                 1.4388,                0.70843,                0.30443,                 1.4771,               0.002773,               0.002773,               0.002773
                     76,                0.78989,                0.51449,                  1.443,                0.84367,                0.51349,                   1.42,                0.96617,                0.96411,                0.99135,                0.80874,                0.75166,                0.36412,                 1.5076,                0.79068,                0.31578,                 1.5581,               0.002674,               0.002674,               0.002674
                     77,                0.80214,                0.50176,                 1.4472,                  0.856,                0.49363,                 1.4309,                0.97437,                0.96232,                0.99129,                0.81255,                 0.7032,                0.34861,                 1.4687,                0.74919,                0.30488,                 1.5318,               0.002575,               0.002575,               0.002575
                     78,                0.79431,                0.49073,                 1.4512,                0.83416,                0.47767,                 1.4262,                0.97025,                0.96328,                0.99138,                0.83128,                0.67477,                0.33643,                 1.4482,                0.69663,                0.30109,                 1.4841,               0.002476,               0.002476,               0.002476
                     79,                0.79556,                0.50313,                 1.4454,                0.84452,                0.49237,                 1.4345,                0.98207,                0.96624,                 0.9925,                0.83475,                0.67706,                 0.3367,                 1.4468,                0.69132,                0.29599,                 1.4705,               0.002377,               0.002377,               0.002377
                     80,                 0.7773,                0.49123,                 1.4385,                0.82176,                 0.4695,                 1.4154,                 0.9871,                0.96882,                 0.9933,                0.84623,                0.63993,                0.32325,                 1.4115,                0.64894,                0.25191,                 1.4302,               0.002278,               0.002278,               0.002278
